query_id,model,dataset,query_text,query_type,latency_ms,is_cached,intent,num_products,has_citation,citation_count,has_hallucination,price_match,category_match,price_filter_ok,judge_score,faithfulness_score,relevance_score,overall_score,timestamp
q1,llama3.2:3b,synthetic_large,Tu van laptop Dell gia duoi 30 trieu,product_search,12584.098599967547,False,product_search,5,True,3,False,False,True,True,4.0,0.8,0.9,0.7741590140003245,2026-05-23T17:46:41.703176
q2,llama3.2:3b,synthetic_large,Tim dien thoai Samsung gia 15 trieu,product_search,23598.65970001556,False,product_search,5,True,3,False,False,True,True,3.3333333333333335,0.8,0.8333333333333334,0.6373467363331777,2026-05-23T17:47:38.813261
q3,llama3.2:3b,synthetic_large,Giay Nike nam size 42 mau trang,product_search,15543.80919993855,False,product_search,5,True,3,False,False,True,True,3.6666666666666665,0.8,0.8666666666666667,0.7312285746672812,2026-05-23T17:48:29.883559
q4,llama3.2:3b,synthetic_large,Son moi mau do gia duoi 500k,product_search,17478.438800084405,False,product_search,2,True,2,False,False,True,True,4.0,0.8,0.9,0.725215611999156,2026-05-23T17:49:20.044511
q5,llama3.2:3b,synthetic_large,Noi chien khong dau tot nhat,semantic,18330.59589995537,False,general,5,True,1,False,False,True,True,3.0,0.8,0.8,0.6766940410004463,2026-05-23T17:50:11.517084
q6,llama3.2:3b,synthetic_large,San pham phu hop cho dan van phong,semantic,19453.219800023362,False,general,5,True,3,False,False,True,True,3.6666666666666665,0.8,0.8666666666666667,0.692134468666433,2026-05-23T17:51:07.477027
q7,llama3.2:3b,synthetic_large,Ao thun nam basic mau den,product_search,17475.516300066374,False,general,5,True,1,False,False,True,True,3.6666666666666665,0.8,0.8666666666666667,0.7119115036660029,2026-05-23T17:51:56.707387
q8,llama3.2:3b,synthetic_large,Dam du tiec sang trong,semantic,19018.906599958427,False,general,5,True,1,False,False,True,True,3.0,0.8,0.8,0.6698109340004158,2026-05-23T17:52:58.345459
q9,llama3.2:3b,synthetic_large,Tim iPhone 25 Pro Max,edge_case,20909.24199996516,False,product_search,5,True,3,False,False,True,True,1.0,0.8,0.6,0.5709075800003484,2026-05-23T17:53:53.585693
q10,llama3.2:3b,synthetic_large,Serum vitamin C duong da gia duoi 1 trieu,product_search,15909.873700002208,False,product_search,3,True,3,False,False,False,True,1.0,0.8,0.3,0.5009012629999778,2026-05-23T17:54:41.507130
q1,qwen2.5:7b,synthetic_large,Tu van laptop Dell gia duoi 30 trieu,product_search,15035.198999918066,False,product_search,5,True,3,False,False,True,True,4.0,0.8,0.9,0.7496480100008194,2026-05-23T17:55:56.730035
q2,qwen2.5:7b,synthetic_large,Tim dien thoai Samsung gia 15 trieu,product_search,109900.94439999666,False,product_search,5,True,1,False,False,True,True,3.3333333333333335,0.8,0.8333333333333334,0.5733333333333334,2026-05-23T17:58:25.294354
q3,qwen2.5:7b,synthetic_large,Giay Nike nam size 42 mau trang,product_search,35043.95870002918,False,product_search,5,True,1,False,False,True,True,3.0,0.8,0.8,0.56,2026-05-23T17:59:40.855821
q5,qwen2.5:7b,synthetic_large,Noi chien khong dau tot nhat,semantic,83667.24790004082,False,general,5,True,1,False,False,True,True,3.0,0.8,0.8,0.56,2026-05-23T18:03:41.168905
q6,qwen2.5:7b,synthetic_large,San pham phu hop cho dan van phong,semantic,103725.98669992294,False,general,5,True,3,False,False,True,True,3.6666666666666665,0.8,0.8666666666666667,0.5866666666666667,2026-05-23T18:06:00.166716
q9,qwen2.5:7b,synthetic_large,Tim iPhone 25 Pro Max,edge_case,24223.4596000053,False,product_search,5,True,3,False,False,True,True,1.0,0.8,0.6,0.537765403999947,2026-05-23T18:09:31.528372
q1,gemma2:9b,synthetic_large,Tu van laptop Dell gia duoi 30 trieu,product_search,10804.236600059085,False,product_search,5,True,3,False,False,True,True,4.0,0.8,0.9,0.7919576339994092,2026-05-23T18:13:34.335374
q4,gemma2:9b,synthetic_large,Son moi mau do gia duoi 500k,product_search,95156.97040001396,False,product_search,3,True,3,False,False,True,True,3.6666666666666665,0.8,0.8666666666666667,0.5866666666666667,2026-05-23T18:19:52.069708
q7,gemma2:9b,synthetic_large,Ao thun nam basic mau den,product_search,78516.72870002221,False,general,5,True,3,False,False,True,True,4.666666666666667,0.8,0.9666666666666667,0.6266666666666667,2026-05-23T18:25:46.300668
q8,gemma2:9b,synthetic_large,Dam du tiec sang trong,semantic,17759.476399980485,False,general,5,True,3,False,False,False,True,3.6666666666666665,0.8,0.5666666666666667,0.5890719026668618,2026-05-23T18:26:37.989986
q10,gemma2:9b,synthetic_large,Serum vitamin C duong da gia duoi 1 trieu,product_search,21505.90899994131,False,product_search,5,True,3,False,False,False,True,2.0,0.8,0.4,0.4849409100005869,2026-05-23T18:28:08.420208
