:START_ID(Product),:END_ID(Category)
3e53bebb-d946-4aea-ab6b-fbe6367b1764,cat_pants_men
c476c974-7838-489e-9d5b-bbec9772c949,cat_tops_women
6dcbaf79-51f3-4a08-8a1c-d9d3d80f2006,cat_shirt_men
ab07150d-4414-4efd-8878-8db6d8849e02,cat_dress
33aef91a-ad61-4324-ba17-cf396267f87d,cat_dress
b748d9ff-a52b-444e-928d-37ebd43bdb0e,cat_skincare
bfeef7c5-04b7-419f-ab67-b0add209f88f,cat_tops_women
c036dad9-824a-44e4-b3d4-b066900dc333,cat_skincare
d4ee372f-56ea-4609-acc8-c0956dfb6970,cat_headphones
29f7082b-6835-4354-8b8d-6097b3a32d6e,cat_laptop
f57db9b9-39fa-425f-be5e-b6f880dcb060,cat_dress
a358cd64-887c-4dc7-96f7-a52b8dbdf5da,cat_shoes_men
edaad765-c3eb-4875-8d5f-d63eaea794b9,cat_lipstick
96cf0545-c208-4d99-964c-116699c3f56a,cat_headphones
6bb8880b-4667-4195-8fed-01c1fe1188fb,cat_lipstick
de22a3f8-6ec4-432c-b873-67921efb8466,cat_headphones
45bf3a35-303c-431b-ac8d-21104b9b4b72,cat_kitchen_appliances
d6e64f42-32b9-4a4c-9144-83e049f28fc0,cat_kitchen_appliances
9db03ebf-6bd0-43de-a22a-dda7a0e37c02,cat_pants_men
66794919-7393-41fb-a7ee-8c93b7c3b4ed,cat_dress
7f7f2481-60e6-4b3f-8304-57a73d8777f7,cat_tops_women
4f84a0b5-a8e9-4e61-839e-d93bf8d3097e,cat_lipstick
f6c5f3c6-1c5c-465a-9b91-52663578b4a2,cat_pants_men
5f35411a-7cff-4c6d-b577-4ed6a30fc7d7,cat_lipstick
4160a6f9-a801-4da0-8430-bb0fda2bd520,cat_shirt_men
3630510e-74e4-4826-a0ee-2acb86196287,cat_lipstick
18cbffa7-76ce-4a4e-90ac-7b99f479cd38,cat_pants_men
e84869b2-57c1-4b8d-a2b2-51f3a90de25e,cat_laptop
96be079c-2b71-4268-8f43-8cd663b57cef,cat_tops_women
030dc729-1a7b-4cd4-81f2-c059019a03eb,cat_shirt_men
fce26b66-b52a-4a51-b98e-0de0d0d1a7c5,cat_kitchen_appliances
a39ac4d7-b1f8-4703-be69-d6040ed36e07,cat_shoes_men
fe7ef891-44b9-400f-9c75-ff1ac5df7ab1,cat_skincare
cf28a522-8474-47bc-ae93-8de9c2f3962c,cat_lipstick
d2a9c626-556e-4f3c-a88f-bfae62d044bc,cat_shoes_men
327078d3-789a-46cb-bac6-08dc819e29ec,cat_smartphone
2f842f72-a79f-4bdc-86c6-b98eae723c13,cat_skincare
f6c4a033-ef67-431a-bd6c-20b51894e2c0,cat_smartphone
cc2be170-0765-4a80-93d5-bc065f80fec5,cat_skincare
dc461bee-6cc3-4e7f-bb94-0e5f83824e2c,cat_lipstick
ff6e7f36-9972-48a1-935c-474bd09d45ca,cat_laptop
ca6aef19-0420-4be3-91e6-56d9957a43c0,cat_smartphone
b486c9ed-75d0-49b1-8ee9-fab0db694a17,cat_kitchen_appliances
21ada025-d1fc-489b-b0cb-c14a28d3b558,cat_pants_men
a656ecc9-821d-4562-aa4a-7e5a6ab47aa7,cat_shoes_men
3eeb8f43-d2a7-422e-bd0a-ed32abcb0d4b,cat_shirt_men
346199b1-3a29-4dd8-99a8-e26d315bbc53,cat_shoes_men
c1c495ba-8f89-4529-8534-0073b5671c17,cat_dress
efc64c77-73ba-454e-986a-4d3baa46db59,cat_shirt_men
d613a9c3-6cbe-4f98-a2ed-5313dad676a1,cat_shoes_men
cc0bacc7-64e3-4589-934b-4f606a4c70b9,cat_kitchen_appliances
1240dc1b-d7eb-4c2c-9304-4757d5f2eb5c,cat_kitchen_appliances
7fb1c483-a3ba-4b61-9f72-945733140b1e,cat_shoes_men
fbe4e8a7-ccde-4fc8-b773-1fd80cc47a5d,cat_tops_women
4f739d85-7f92-4b30-b15d-c422a05fc284,cat_skincare
a0c189a7-e320-4615-9c46-f8224d52f651,cat_shirt_men
d381b75c-2299-4398-a27d-ace01b809b52,cat_laptop
88211430-7eec-48b3-8941-f5d5d6750254,cat_pants_men
8d1e9bf6-7112-4d5a-a306-50a6730103c1,cat_shirt_men
52dc0d2e-18c5-43ac-9a23-eb8cb1be4375,cat_headphones
9540fb38-04d0-4ce5-a44f-ae882da1899e,cat_headphones
56e5e236-2a25-42c2-b352-d012eff97e33,cat_skincare
4ef8313f-0fef-4afb-b157-3dc5ec7e1d45,cat_smartphone
a19b32b6-6b17-43c3-b1d6-382c8a56c363,cat_kitchen_appliances
24a7b21f-fa25-4f25-b74e-62866d210584,cat_tops_women
bf3db4cd-c695-400d-88fb-31e3b700f497,cat_laptop
c5912d5d-aaf3-4525-aa28-269fb25cea34,cat_headphones
ae7a4139-3916-4a12-adc6-9bb49d7da6b3,cat_headphones
df8b0e0d-68e4-4db3-b983-4bec9292f6da,cat_shoes_men
c0cea9c2-88dd-4484-a60f-abd756a84384,cat_laptop
187730ee-44a9-4a49-8c92-48e22fb0cedf,cat_shoes_men
95737292-469b-4f75-9694-a30313452df1,cat_shoes_men
