product_id:ID,name,slug,price:float,compare_price:float,status,stock_quantity:int,rating_avg:float,rating_count:int,sold_count:int,description,source,:LABEL
3e53bebb-d946-4aea-ab6b-fbe6367b1764,Quan jean Nam Levis Relaxed fit Mau Nau,quan-jean-nam-levis-relaxed-fit-mau-nau-180,1000000,1320000,active,185,4.9,413,710,"Quan jean nam Levis, Relaxed fit, chat lieu cao cap, co gian nhe, thoai mai van dong.",synthetic_large,Product
c476c974-7838-489e-9d5b-bbec9772c949,Ao khoac Nu Marc Fashion Basic Mau Hong,ao-khoac-nu-marc-fashion-basic-mau-hong-313,450000,,active,199,4.9,169,826,"Ao khoac nu Marc Fashion kieu Basic, chat lieu thoang mat, de phoi do.",synthetic_large,Product
6dcbaf79-51f3-4a08-8a1c-d9d3d80f2006,Ao polo Nam H&M Linen Mau Do,ao-polo-nam-hm-linen-mau-do-110,780000,,active,149,4.7,375,922,"Ao polo nam chat lieu Linen cao cap, form regular, thoang mat, de phoi do.",synthetic_large,Product
ab07150d-4414-4efd-8878-8db6d8849e02,Dam body Nu Elise Caro Mau Den,dam-body-nu-elise-caro-mau-den-253,460000,,active,35,4.3,498,742,"Dam body nu Elise hoa tiet Caro, chat lieu mem mai, ton dang, phu hop di choi.",synthetic_large,Product
33aef91a-ad61-4324-ba17-cf396267f87d,Dam body Nu Elise Caro Mau Xanh,dam-body-nu-elise-caro-mau-xanh-242,1320000,,active,51,4.9,406,157,"Dam body nu Elise hoa tiet Caro, chat lieu mem mai, ton dang, phu hop du tiec.",synthetic_large,Product
b748d9ff-a52b-444e-928d-37ebd43bdb0e,The Face Shop Sua rua mat Chong lao hoa,the-face-shop-sua-rua-mat-chong-lao-hoa-404,260000,,active,115,3.7,299,909,"Sua rua mat The Face Shop cong dung Chong lao hoa, phu hop da nhay cam, khong gay kich ung.",synthetic_large,Product
bfeef7c5-04b7-419f-ab67-b0add209f88f,Ao so mi Nu Elise Tay phong Mau Xanh mint,ao-so-mi-nu-elise-tay-phong-mau-xanh-mint-307,580000,,active,21,4.2,264,777,"Ao so mi nu Elise kieu Tay phong, chat lieu thoang mat, de phoi do.",synthetic_large,Product
c036dad9-824a-44e4-b3d4-b066900dc333,Cetaphil Kem chong nang Chong lao hoa,cetaphil-kem-chong-nang-chong-lao-hoa-381,400000,500000,active,89,3.6,305,11,"Kem chong nang Cetaphil cong dung Chong lao hoa, phu hop da hon hop, khong gay kich ung.",synthetic_large,Product
d4ee372f-56ea-4609-acc8-c0956dfb6970,Sony Tai nghe chup tai Mic khong day,sony-tai-nghe-chup-tai-mic-khong-day-475,3640000,,active,173,3.7,500,741,"Tai nghe Sony Tai nghe chup tai, sac khong day, am thanh Hi-Res, phu hop choi game.",synthetic_large,Product
29f7082b-6835-4354-8b8d-6097b3a32d6e,HP Swift 94 Ryzen 7 8GB 1TB SSD,hp-swift-94-ryzen-7-8gb-1tb-ssd-10,33720000,40620000,active,82,3.6,125,378,"Laptop HP Swift 94 voi chip Ryzen 7, 8GB RAM, 1TB SSD. Thiet ke mong nhe, pin lau, phu hop cho lam viec van phong.",synthetic_large,Product
f57db9b9-39fa-425f-be5e-b6f880dcb060,Dam xoe Nu Elise Ren Mau Do,dam-xoe-nu-elise-ren-mau-do-267,570000,,active,189,3.6,273,383,"Dam xoe nu Elise hoa tiet Ren, chat lieu mem mai, ton dang, phu hop du tiec.",synthetic_large,Product
a358cd64-887c-4dc7-96f7-a52b8dbdf5da,New Balance 574 Trang Den,new-balance-574-trang-den-207,2190000,,active,131,4.9,245,938,"Giay New Balance 574 chinh hang, de cao su ben, thoang khi, phu hop di choi.",synthetic_large,Product
edaad765-c3eb-4875-8d5f-d63eaea794b9,Black Rouge Son kem Velvet Mau Hong,black-rouge-son-kem-velvet-mau-hong-323,300000,,active,43,4.1,80,113,"Son Black Rouge Son kem Velvet, mau Hong len moi chuan, ben mau, khong kho moi.",synthetic_large,Product
96cf0545-c208-4d99-964c-116699c3f56a,Bose Tai nghe true wireless Mic khong day,bose-tai-nghe-true-wireless-mic-khong-day-483,7690000,,active,183,3.5,16,698,"Tai nghe Bose Tai nghe true wireless, 5G, am thanh Hi-Res, phu hop lap trinh.",synthetic_large,Product
6bb8880b-4667-4195-8fed-01c1fe1188fb,Merzy Son thoi Satin Mau Nau dat,merzy-son-thoi-satin-mau-nau-dat-326,260000,280000,active,182,3.5,327,711,"Son Merzy Son thoi Satin, mau Nau dat len moi chuan, ben mau, khong kho moi.",synthetic_large,Product
de22a3f8-6ec4-432c-b873-67921efb8466,Xiaomi Tai nghe chup tai Mic khong day,xiaomi-tai-nghe-chup-tai-mic-khong-day-476,8480000,10780000,active,80,3.8,478,447,"Tai nghe Xiaomi Tai nghe chup tai, chong nuoc IP68, am thanh Hi-Res, phu hop lam viec van phong.",synthetic_large,Product
